stock_decision,name,slug,sku,brand_slug,category_slug,processor_type,shortDescription,description,price,compareAtPrice,costPrice,stockStatus,stockQuantity,lowStockAlert,isFeatured,isActive,image_url,image_alt,metaTitle,metaDescription,metaKeywords,source_list_url,supported_cpu,chipset,memory_size,memory_type,storage_slots,graphics,audio,ports_connectors,special_features,form_factor,expansion_slots,warranty
STOCK,ASUS PRIME H610M-R DDR5 LGA1700 mATX Motherboard,asus-prime-h610m-r-ddr5-lga1700-matx-motherboard,MB-ASUS-PRIME-H610M-R-LGA1700,asus-intel,intel-motherboard,Intel,ASUS PRIME H610M-R DDR5 Micro-ATX for LGA1700.,"ASUS PRIME H610M-R DDR5 brings dual-channel DDR5 to the H610 platform for Intel 12th–14th Gen CPUs, with M.2 storage and multi-display rear I/O in a Micro-ATX footprint.",11450,,11600,IN_STOCK,7,5,false,true,/uploads/motherboards/asus-prime-h610m-r-ddr5-lga1700-matx-motherboard.jpg,ASUS PRIME H610M-R DDR5 LGA1700 mATX Motherboard,Buy ASUS PRIME H610M-R DDR5 LGA1700 mATX Motherboard in Bangladesh | LogicBay BD,"ASUS PRIME H610M-R DDR5 LGA1700 mATX Motherboard — Intel H610, DDR5, Micro ATX. Price ৳13500. Warranty 3 Years.","motherboard, asus-intel, Intel H610, DDR5, LogicBay BD",https://www.startech.com.bd/asus-prime-h610m-r-ddr5-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,96GB,DDR5,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D, 1x VGA",Realtek ALC897 HD Audio,"Rear: HDMI, DVI-D, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio, PS/2 | Internal: USB headers, COM, TPM","DDR5 support, ASUS 5X Protection III",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,Asus PRIME A520M-A II AM4 micro ATX Motherboard,asus-prime-a520m-a-ii-am4-micro-atx-motherboard,MB-ASUS-PRIME-A520M-A-II-AM4,asus-amd,amd-motherboard,AMD,PRIME A520M-A II with RGB header and dual-channel DDR4.,"ASUS PRIME A520M-A II is an AM4 A520 Micro-ATX board with dual-channel DDR4, M.2 NVMe, triple display outputs, and an Aura RGB header for custom builds.",11100,11300,9000,IN_STOCK,9,5,false,true,/uploads/motherboards/asus-prime-a520m-a-ii-am4-micro-atx-motherboard.jpg,Asus PRIME A520M-A II AM4 micro ATX Motherboard,Buy Asus PRIME A520M-A II AM4 micro ATX Motherboard in Bangladesh | LogicBay BD,"Asus PRIME A520M-A II AM4 micro ATX Motherboard — AMD A520, DDR4, Micro ATX. Price ৳10500. Warranty 3 Years.","motherboard, asus-amd, AMD A520, DDR4, LogicBay BD",https://www.startech.com.bd/asus-prime-a520m-a-ii-am4-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD A520,128GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D, 1x VGA",Realtek ALC887 HD Audio,"Rear: HDMI, DVI-D, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio | Internal: Aura RGB header, USB headers","ASUS Aura Sync header, 5X Protection III",Micro ATX,1x PCIe 3.0 x16 | 2x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,GIGABYTE A520M K V2 AM4 Micro ATX Motherboard,gigabyte-a520m-k-v2-am4-micro-atx-motherboard,MB-GIGABYTE-A520M-K-V2-AM4,gigabyte-amd,amd-motherboard,AMD,GIGABYTE A520M K V2 value AM4 motherboard.,"GIGABYTE A520M K V2 uses AMD A520 for Ryzen AM4 CPUs with dual DDR4 DIMMs, M.2 NVMe, HDMI/DVI video, Realtek LAN, and Smart Fan 6 cooling controls.",8500,,7600,IN_STOCK,13,5,false,true,/uploads/motherboards/gigabyte-a520m-k-v2-am4-micro-atx-motherboard.jpg,GIGABYTE A520M K V2 AM4 Micro ATX Motherboard,Buy GIGABYTE A520M K V2 AM4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE A520M K V2 AM4 Micro ATX Motherboard — AMD A520, DDR4, Micro ATX. Price ৳8900. Warranty 3 Years.","motherboard, gigabyte-amd, AMD A520, DDR4, LogicBay BD",https://www.startech.com.bd/gigabyte-a520m-k-v2-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD A520,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D",Realtek Audio CODEC HD Audio,"Rear: HDMI, DVI-D, USB 3.2 Gen1, USB 2.0, Realtek GbE LAN, audio | Internal: USB headers, front panel","Smart Fan 6, Anti-Sulfur Resistors",Micro ATX,1x PCIe x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,GIGABYTE B450M K AMD AM4 Micro ATX Motherboard,gigabyte-b450m-k-amd-am4-micro-atx-motherboard,MB-GIGABYTE-B450M-K-AM4,gigabyte-amd,amd-motherboard,AMD,GIGABYTE B450M K Micro-ATX for AM4 Ryzen upgrades.,"GIGABYTE B450M K is a budget B450 Micro-ATX board for AM4 Ryzen processors with DDR4 dual-channel memory, M.2 storage, and HDMI/DVI display outputs.",8800,,8200,IN_STOCK,10,5,false,true,/uploads/motherboards/gigabyte-b450m-k-amd-am4-micro-atx-motherboard.jpg,GIGABYTE B450M K AMD AM4 Micro ATX Motherboard,Buy GIGABYTE B450M K AMD AM4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE B450M K AMD AM4 Micro ATX Motherboard — AMD B450, DDR4, Micro ATX. Price ৳9500. Warranty 3 Years.","motherboard, gigabyte-amd, AMD B450, DDR4, LogicBay BD",https://www.startech.com.bd/gigabyte-b450m-k-motherboard,"AMD Ryzen 5000/3000/2000 Series (AM4, BIOS dependent)",AMD B450,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D",Realtek Audio CODEC HD Audio,"Rear: HDMI, DVI-D, USB 3.1/3.0, USB 2.0, Realtek LAN, audio | Internal: USB headers, RGB header (model dependent)","Smart Fan 5, Ultra Durable",Micro ATX,1x PCIe x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,GIGABYTE H610M K DDR4 Micro ATX Motherboard,gigabyte-h610m-k-ddr4-micro-atx-motherboard,MB-GIGABYTE-H610M-K,gigabyte-intel,intel-motherboard,Intel,GIGABYTE H610M K DDR4 with NVMe M.2 and Smart Fan 6.,"Per GIGABYTE specs, H610M K DDR4 supports Intel 12th–14th Gen LGA1700 CPUs, dual-channel DDR4 up to 64GB, PCIe 4.0 x16, Gen3 x4 M.2, Realtek GbE, and Smart Fan 6.",10500,,9200,IN_STOCK,12,5,false,true,/uploads/motherboards/gigabyte-h610m-k-ddr4-micro-atx-motherboard.jpg,GIGABYTE H610M K DDR4 Micro ATX Motherboard,Buy GIGABYTE H610M K DDR4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE H610M K DDR4 Micro ATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳10800. Warranty 3 Years.","motherboard, gigabyte-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/gigabyte-h610m-k-ddr4-motherboard,Intel Core 14th/13th/12th Gen (LGA1700),Intel H610,64GB,DDR4,1x M.2 PCIe 3.0 x4 + 4x SATA 6Gb/s,1x HDMI,Realtek Audio CODEC HD Audio,"Rear: HDMI, USB 3.2 Gen1, USB 2.0, Realtek GbE LAN, audio | Internal: USB headers, Smart Fan headers","Smart Fan 6, Anti-Sulfur Resistors, NVMe M.2",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe x1 | 1x M.2 NVMe,3 Years
STOCK,GIGABYTE H610M H DDR4 Micro ATX Motherboard,gigabyte-h610m-h-ddr4-micro-atx-motherboard,MB-GIGABYTE-H610M-H,gigabyte-intel,intel-motherboard,Intel,H610M H DDR4 with HDMI + VGA for office PCs.,"GIGABYTE H610M H DDR4 is an H610 Micro-ATX board for LGA1700 Intel CPUs with dual DDR4 DIMMs, M.2 NVMe, HDMI and VGA outputs, and Realtek networking/audio.",10600,,9500,IN_STOCK,11,5,false,true,/uploads/motherboards/gigabyte-h610m-h-ddr4-micro-atx-motherboard.jpg,GIGABYTE H610M H DDR4 Micro ATX Motherboard,Buy GIGABYTE H610M H DDR4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE H610M H DDR4 Micro ATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳11200. Warranty 3 Years.","motherboard, gigabyte-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/gigabyte-h610m-h-ddr4-motherboard,Intel Core 14th/13th/12th Gen (LGA1700),Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek Audio CODEC HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek GbE, audio | Internal: USB / front panel headers","Smart Fan 6, Anti-Sulfur design",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,GIGABYTE H610M K DDR5 Micro ATX Motherboard,gigabyte-h610m-k-ddr5-micro-atx-motherboard,MB-GIGABYTE-H610M-K-2,gigabyte-intel,intel-motherboard,Intel,GIGABYTE H610M K DDR5 Micro-ATX motherboard.,"GIGABYTE H610M K DDR5 supports Intel 12th–14th Gen CPUs with dual-channel DDR5 memory, M.2 storage, PCIe 4.0 graphics slot, and Smart Fan 6 thermal control.",10700,10900,11000,IN_STOCK,8,5,false,true,/uploads/motherboards/gigabyte-h610m-k-ddr5-micro-atx-motherboard.jpg,GIGABYTE H610M K DDR5 Micro ATX Motherboard,Buy GIGABYTE H610M K DDR5 Micro ATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE H610M K DDR5 Micro ATX Motherboard — Intel H610, DDR5, Micro ATX. Price ৳12800. Warranty 3 Years.","motherboard, gigabyte-intel, Intel H610, DDR5, LogicBay BD",https://www.startech.com.bd/gigabyte-h610m-k-ddr5-motherboard,Intel Core 14th/13th/12th Gen (LGA1700),Intel H610,96GB,DDR5,1x M.2 + 4x SATA 6Gb/s,1x HDMI,Realtek Audio CODEC HD Audio,"Rear: HDMI, USB 3.2 Gen1, USB 2.0, Realtek GbE, audio | Internal: USB headers, Smart Fan headers","DDR5 dual-channel, Smart Fan 6",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,GIGABYTE A620M H AM5 Micro-ATX Motherboard,gigabyte-a620m-h-am5-micro-atx-motherboard,MB-GIGABYTE-A620M-H-AM5,gigabyte-amd,amd-motherboard,AMD,GIGABYTE A620M H AM5 board with DDR5 and HDMI/DP.,"GIGABYTE A620M H is an entry AM5 motherboard with AMD A620 chipset, dual-channel DDR5, M.2 NVMe, HDMI/DisplayPort outputs, and Micro-ATX sizing for Ryzen 7000-class systems.",11400,11500,12200,IN_STOCK,9,5,false,true,/uploads/motherboards/gigabyte-a620m-h-am5-micro-atx-motherboard.jpg,GIGABYTE A620M H AM5 Micro-ATX Motherboard,Buy GIGABYTE A620M H AM5 Micro-ATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE A620M H AM5 Micro-ATX Motherboard — AMD A620, DDR5, Micro ATX. Price ৳14200. Warranty 3 Years.","motherboard, gigabyte-amd, AMD A620, DDR5, LogicBay BD",https://www.startech.com.bd/gigabyte-a620m-h-motherboard,AMD Ryzen 9000/8000/7000 Series (AM5),AMD A620,128GB,DDR5,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DisplayPort",Realtek Audio CODEC HD Audio,"Rear: HDMI, DP, USB 3.2 Gen1, USB 2.0, Realtek GbE, audio | Internal: USB headers, fan headers","AMD EXPO ready, Smart Fan 6",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,ASRock A520M-HVS AMD AM4 Micro ATX Motherboard,asrock-a520m-hvs-amd-am4-micro-atx-motherboard,MB-ASROCK-A520M-HVS-AM4,asrock-amd,amd-motherboard,AMD,ASRock A520M-HVS budget AM4 Micro-ATX board.,"ASRock A520M-HVS pairs AMD A520 with Ryzen AM4 CPUs, dual DDR4 DIMMs, M.2 SSD support, and HDMI/VGA outputs for low-cost desktops.",6800,7500,7400,IN_STOCK,12,5,false,true,/uploads/motherboards/asrock-a520m-hvs-amd-am4-micro-atx-motherboard.jpg,ASRock A520M-HVS AMD AM4 Micro ATX Motherboard,Buy ASRock A520M-HVS AMD AM4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"ASRock A520M-HVS AMD AM4 Micro ATX Motherboard — AMD A520, DDR4, Micro ATX. Price ৳8600. Warranty 3 Years.","motherboard, asrock-amd, AMD A520, DDR4, LogicBay BD",https://www.startech.com.bd/asrock-a520m-hvs-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD A520,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC887 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek LAN, audio, PS/2 | Internal: USB headers, COM",ASRock Full Spike Protection,Micro ATX,1x PCIe 3.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,"ASROCK H610M-H2/M.2 14th, 13th and 12th Gen mATX DDR5 Motherboard",asrock-h610m-h2-m-2-14th-13th-and-12th-gen-matx-ddr5-motherboard,MB-ASROCK-H610M-H2-M-2-14TH-13TH-AND-12TH-GEN,asrock-intel,intel-motherboard,Intel,ASRock H610M-H2/M.2 DDR5 for 12th–14th Gen Intel.,"ASRock H610M-H2/M.2 is an H610 Micro-ATX board with DDR5 memory support for Intel 12th–14th Gen LGA1700 CPUs, dedicated M.2 storage, and HDMI/VGA display outputs.",9100,,11300,IN_STOCK,8,5,false,true,/uploads/motherboards/asrock-h610m-h2-m-2-14th-13th-and-12th-gen-matx-ddr5-motherboard.jpg,"ASROCK H610M-H2/M.2 14th, 13th and 12th Gen mATX DDR5 Motherboard","Buy ASROCK H610M-H2/M.2 14th, 13th and 12th Gen mATX DDR5 Motherboard in Bangladesh | LogicBay BD","ASROCK H610M-H2/M.2 14th, 13th and 12th Gen mATX DDR5 Motherboard — Intel H610, DDR5, Micro ATX. Price ৳13200. Warranty 3 Years.","motherboard, asrock-intel, Intel H610, DDR5, LogicBay BD",https://www.startech.com.bd/asrock-h610m-h2-m2-motherboard,Intel Core 14th/13th/12th Gen (LGA1700),Intel H610,96GB,DDR5,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC897 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio | Internal: USB headers, front panel","M.2 slot highlighted, Full Spike Protection",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,Colorful BATTLE-AX H610M-E WIFI V20 mATX Motherboard,colorful-battle-ax-h610m-e-wifi-v20-matx-motherboard,MB-COLORFUL-BATTLE-AX-H610M-E-V20,colorful-intel,intel-motherboard,Intel,Colorful BATTLE-AX H610M-E WIFI with wireless networking.,"Colorful BATTLE-AX H610M-E WIFI V20 is an H610 Micro-ATX motherboard for LGA1700 Intel CPUs with DDR4 memory, M.2 storage, HDMI/VGA, and onboard Wi-Fi for cable-free office setups.",10200,,12400,IN_STOCK,6,5,false,true,/uploads/motherboards/colorful-battle-ax-h610m-e-wifi-v20-matx-motherboard.jpg,Colorful BATTLE-AX H610M-E WIFI V20 mATX Motherboard,Buy Colorful BATTLE-AX H610M-E WIFI V20 mATX Motherboard in Bangladesh | LogicBay BD,"Colorful BATTLE-AX H610M-E WIFI V20 mATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳14500. Warranty 3 Years.","motherboard, colorful-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/colorful-battle-ax-h610m-e-wifi-v20-motherboard,Intel Core 14th/13th/12th Gen (LGA1700),Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek HD Audio Codec,"Rear: HDMI, VGA, USB 3.2, USB 2.0, 1GbE LAN, Wi-Fi antennas, audio | Internal: USB headers","Wi-Fi (onboard), Battle-AX series cooling design",Micro ATX,1x PCIe x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,Gigabyte A520M DS3H V2 Micro-ATX DDR4 AMD AM4 Motherboard,gigabyte-a520m-ds3h-v2-micro-atx-ddr4-amd-am4-motherboard,MB-GIGABYTE-A520M-DS3H-V2-AM4,gigabyte-amd,amd-motherboard,AMD,A520M DS3H V2 with four DIMM slots and RGB header.,"GIGABYTE A520M DS3H V2 offers AMD A520 on AM4 with up to four DDR4 DIMMs (high capacity), M.2 NVMe, triple display outputs, and Ultra Durable components for mainstream desktops.",10000,10300,9600,IN_STOCK,9,5,false,true,/uploads/motherboards/gigabyte-a520m-ds3h-v2-micro-atx-ddr4-amd-am4-motherboard.jpg,Gigabyte A520M DS3H V2 Micro-ATX DDR4 AMD AM4 Motherboard,Buy Gigabyte A520M DS3H V2 Micro-ATX DDR4 AMD AM4 Motherboard in Bangladesh | LogicBay BD,"Gigabyte A520M DS3H V2 Micro-ATX DDR4 AMD AM4 Motherboard — AMD A520, DDR4, Micro ATX. Price ৳11200. Warranty 3 Years.","motherboard, gigabyte-amd, AMD A520, DDR4, LogicBay BD",https://www.startech.com.bd/gigabyte-a520m-ds3h-v2-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD A520,128GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D, 1x VGA",Realtek Audio CODEC HD Audio,"Rear: HDMI, DVI-D, VGA, USB 3.2 Gen1, USB 2.0, Realtek GbE, audio | Internal: RGB header, USB headers","Ultra Durable, Smart Fan 5, RGB Fusion header",Micro ATX,1x PCIe x16 | 2x PCIe x1 | 1x M.2,3 Years
STOCK,Gigabyte B450M DS3H V3 AMD AM4 Micro ATX Motherboard,gigabyte-b450m-ds3h-v3-amd-am4-micro-atx-motherboard,MB-GIGABYTE-B450M-DS3H-V3-AM4,gigabyte-amd,amd-motherboard,AMD,B450M DS3H V3 Micro-ATX with four DIMMs for AM4.,"GIGABYTE B450M DS3H V3 is a proven B450 Micro-ATX platform for Ryzen AM4 with dual-channel DDR4 (4 DIMMs), M.2 storage, and multi-display rear I/O.",10000,10500,10100,IN_STOCK,8,5,false,true,/uploads/motherboards/gigabyte-b450m-ds3h-v3-amd-am4-micro-atx-motherboard.jpg,Gigabyte B450M DS3H V3 AMD AM4 Micro ATX Motherboard,Buy Gigabyte B450M DS3H V3 AMD AM4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"Gigabyte B450M DS3H V3 AMD AM4 Micro ATX Motherboard — AMD B450, DDR4, Micro ATX. Price ৳11800. Warranty 3 Years.","motherboard, gigabyte-amd, AMD B450, DDR4, LogicBay BD",https://www.startech.com.bd/gigabyte-b450m-ds3h-v3-motherboard,"AMD Ryzen 5000/3000/2000 Series (AM4, BIOS dependent)",AMD B450,128GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D, 1x VGA",Realtek Audio CODEC HD Audio,"Rear: HDMI, DVI-D, VGA, USB 3.1 Gen1, USB 2.0, Realtek LAN, audio | Internal: RGB header, USB headers","Ultra Durable, Smart Fan 5, RGB Fusion",Micro ATX,1x PCIe x16 | 1x PCIe x4 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,MSI PRO H610M-S DDR4 II mATX Motherboard,msi-pro-h610m-s-ddr4-ii-matx-motherboard,MB-MSI-PRO-H610M-S-II,msi-intel,intel-motherboard,Intel,MSI PRO H610M-S DDR4 II compact office motherboard.,"MSI PRO H610M-S DDR4 II supports Intel LGA1700 12th–14th Gen CPUs with H610 chipset, dual DDR4 DIMMs up to 64GB, M.2 SSD, and HDMI/VGA outputs for business PCs.",10200,,9300,IN_STOCK,10,5,false,true,/uploads/motherboards/msi-pro-h610m-s-ddr4-ii-matx-motherboard.jpg,MSI PRO H610M-S DDR4 II mATX Motherboard,Buy MSI PRO H610M-S DDR4 II mATX Motherboard in Bangladesh | LogicBay BD,"MSI PRO H610M-S DDR4 II mATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳10900. Warranty 3 Years.","motherboard, msi-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/msi-pro-h610m-s-ddr4-ii-matx-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC897 7.1 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio | Internal: USB headers, TPM","PRO Series stability focus, EZ Debug LED",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,ASUS PRIME H510M-K R2.0 10th and 11th Gen Micro-ATX Motherboard,asus-prime-h510m-k-r2-0-10th-and-11th-gen-micro-atx-motherboard,MB-ASUS-PRIME-H510M-K-R2-0-10TH-AND-11TH-GEN,asus-intel,intel-motherboard,Intel,PRIME H510M-K R2.0 for 10th/11th Gen LGA1200 CPUs.,"ASUS PRIME H510M-K R2.0 is an H510 Micro-ATX board for Intel 10th and 11th Gen LGA1200 processors with DDR4 dual-channel memory, M.2 storage, and HDMI/VGA video.",10700,,8800,IN_STOCK,9,5,false,true,/uploads/motherboards/asus-prime-h510m-k-r2-0-10th-and-11th-gen-micro-atx-motherboard.jpg,ASUS PRIME H510M-K R2.0 10th and 11th Gen Micro-ATX Motherboard,Buy ASUS PRIME H510M-K R2.0 10th and 11th Gen Micro-ATX Motherboard in Bangladesh | LogicBay BD,"ASUS PRIME H510M-K R2.0 10th and 11th Gen Micro-ATX Motherboard — Intel H510, DDR4, Micro ATX. Price ৳10200. Warranty 3 Years.","motherboard, asus-intel, Intel H510, DDR4, LogicBay BD",https://www.startech.com.bd/asus-prime-h510m-k-r2-0-motherboard,"Intel Core 11th/10th Gen, Pentium Gold, Celeron (LGA1200)",Intel H510,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC887 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio, PS/2 | Internal: USB headers, COM, TPM","ASUS 5X Protection III, Fan Xpert",Micro ATX,1x PCIe 4.0/3.0 x16 | 2x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,GIGABYTE H610M H V3 DDR4 Micro ATX Motherboard,gigabyte-h610m-h-v3-ddr4-micro-atx-motherboard,MB-GIGABYTE-H610M-H-V3,gigabyte-intel,intel-motherboard,Intel,GIGABYTE H610M H V3 DDR4 refreshed H610 board.,"GIGABYTE H610M H V3 DDR4 updates the H610M H line for Intel 12th–14th Gen CPUs with dual DDR4 DIMMs, M.2 NVMe, HDMI/VGA, and Smart Fan 6.",10200,11000,9700,IN_STOCK,10,5,false,true,/uploads/motherboards/gigabyte-h610m-h-v3-ddr4-micro-atx-motherboard.jpg,GIGABYTE H610M H V3 DDR4 Micro ATX Motherboard,Buy GIGABYTE H610M H V3 DDR4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE H610M H V3 DDR4 Micro ATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳11400. Warranty 3 Years.","motherboard, gigabyte-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/gigabyte-h610m-h-v3-ddr4-motherboard,Intel Core 14th/13th/12th Gen (LGA1700),Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek Audio CODEC HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek GbE, audio | Internal: USB headers, Smart Fan headers","Smart Fan 6, V3 revision updates",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,GIGABYTE H610M H DDR5 mATX Motherboard,gigabyte-h610m-h-ddr5-matx-motherboard,MB-GIGABYTE-H610M-H-2,gigabyte-intel,intel-motherboard,Intel,GIGABYTE H610M H DDR5 with HDMI and VGA outputs.,"GIGABYTE H610M H DDR5 supports LGA1700 Intel 12th–14th Gen processors with dual-channel DDR5, M.2 storage, and HDMI/VGA for mixed display setups.",10900,11000,11200,IN_STOCK,7,5,false,true,/uploads/motherboards/gigabyte-h610m-h-ddr5-matx-motherboard.jpg,GIGABYTE H610M H DDR5 mATX Motherboard,Buy GIGABYTE H610M H DDR5 mATX Motherboard in Bangladesh | LogicBay BD,"GIGABYTE H610M H DDR5 mATX Motherboard — Intel H610, DDR5, Micro ATX. Price ৳13000. Warranty 3 Years.","motherboard, gigabyte-intel, Intel H610, DDR5, LogicBay BD",https://www.startech.com.bd/gigabyte-h610m-h-motherboard,Intel Core 14th/13th/12th Gen (LGA1700),Intel H610,96GB,DDR5,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek Audio CODEC HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek GbE, audio | Internal: USB headers, fan headers","DDR5 support, Smart Fan 6",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe x1 | 1x M.2,3 Years
STOCK,MSI PRO H610M-S DDR4 m-ATX Motherboard,msi-pro-h610m-s-ddr4-m-atx-motherboard,MB-MSI-PRO-H610M-S,msi-intel,intel-motherboard,Intel,MSI PRO H610M-S DDR4 Micro-ATX for LGA1700.,"MSI PRO H610M-S DDR4 is an H610 Micro-ATX motherboard for Intel 12th–14th Gen CPUs with dual DDR4 memory slots, M.2 SSD, HDMI/VGA, and Realtek audio/LAN.",9700,10200,9100,IN_STOCK,11,5,false,true,/uploads/motherboards/msi-pro-h610m-s-ddr4-m-atx-motherboard.jpg,MSI PRO H610M-S DDR4 m-ATX Motherboard,Buy MSI PRO H610M-S DDR4 m-ATX Motherboard in Bangladesh | LogicBay BD,"MSI PRO H610M-S DDR4 m-ATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳10700. Warranty 3 Years.","motherboard, msi-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/msi-pro-h610m-s-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC897 7.1 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio | Internal: USB headers, TPM","PRO Series, EZ Debug LED",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
